udm,ru
"Кузонын трамвай , троллейбус , автобус транспорт ветлэ","В Казани трамвай троллейбус , автобус , автобус , автобус , автобус , автобус , транспорт"
* Казанской федеральной университет,Казанский федеральный университет
* Казанской государственной технической университет,Казанский государственный технический университет
* Казанской государственной технологической университет,Казанский государственный технологический университет
* Казанской государственной энергетической университет,Казанский государственный энергетический университет
Ужа Татарстан Республикаысь Наукосъя Академия,работает в республике Татарстана
Карын В,Город в городе
Политикаын интыез,Место политики
Центральной Комитет,Центральный комитет
Центрез — Каракулино,Центр в центре Каракулино
Центрез — Завьял,Центр Завьялова в центре
Студилэн туала улонэз,Нынешняя жизнь в студии
Центрез – Вавож,В центре центра Вавожа
Центрез — Юкаменск черкогурт,Центр Юкаменского села
Экономика но культура,Экономика и культура
Республикалэн подчиненияз :,Подчиние республики
Муниципальной власть,Муниципальная власть
« Айкайлэн » кивалтӥсез - П,Айкай руководит песней
Татын ужа производствоя ньыль цех,Здесь работают четыре цеха производства
Центрез — Алнаш черкогуртын,Центр Алнаши в центре села
Архип Архипович но шумпотысал,Архипа Архипович и радятся
Автомобиль транспорт,Транспорт
Авиационной транспорт,Авиационный транспорт
Центрез — Дэбес,Центр Дебесы
Центрез — Сьӧлта,Центр центра Селты
История но статистика,История и статистика
Интыысь аскивалтон,Место самоуправления
Татын вӧлмемын бесерман наречилэнлэн юнда говорез,"Здесь распространились наречие Юнды Бесермянина , говор"
Дюма старшийлэн ),Дюма старший
"Чехов , И",Чехов и
Саранск - кар округ,Саранск в городе округа
Профессиональной улонэз,профессиональная жизнь
Никитинэн но мукет литераторъёсын,Никитина и другие литераторы
Личной улонэз,личная жизнь
Шуркынмонлэн пумаз сочинениосын собраниез куинь томен наборэ сётэмын вал,В конце ноября сочинения в собрании трех томов дало три тома о наборе лошадей
"Та версия бордын ужаз Московской уголовной розыскысь следователь , полковник Эдуард Хлысталов","По этой версии , работало около московского уголовного розыска следователи полковник Эдуард Хлысталов"
"Сыӵеен адӟиськомы Паринъёсты , Павел Ощепковез",такой видит Павел Ощепков
"Кылсярысь , балетмейстер Анатолий Бондарев","Например , балетмейстер Анатолий Бондарев"
Сюлэм но син,Сердце и глаза
Татысь кошки ке мон уин,я ушел отсюда ночью
Музъем тупын,Мяч на земле
Музъем тупын,Мяч на земле
Сайкась шундыен мон но сайкало,я проснулся на солнце и проснулся
"Инна Ивакина , Елена Широбокова",Инна Ивакина Елена Широбокова
сайкась шундыен сайкало,Солнце проснется
грушаоссэ сииллям нымы-кибыос,Мошкара съела грушу
Аттӥла Йожеф,Аттила Йожефа
бакель каризы дун-сьӧлыктэмъес,Благотворением Делали цены
сюрс укмыс сю витьлэн оштолэзяз,"Три тысячи девять тысяч , сто пять апреля"
мынам кымсам,Я на лоб
мынам улон,Я в жизни
"Тон ярат , монэ",я любил тебя
мынам сюлмы,Я кишка
Нокинлэсь ни туннэзэ,Никто уже сегодня
ми татын куинь эксэйёс,Мы здесь три царя
пунылэсь но кионлэсь,Собака и волк
"Мон нюжгес , ӟечез валась",Волокимов лучше меня понять
Йырсизэ кышномуртлэсь,"Женщина , волосы"
котырес ыргон уксё,Деньги на медь круглый
Пичи азбар шорысь югыт,"Маленький двор , середина света"
Листовкаен товарищьёс,Товарищи листовки
куанеръёслэн уйзы !,Ночью бедняки
одӥг пол – чабей пӧлын,Один раз среди пшеницы
одӥг пол – монастырьын,Один раз в монастырь
одӥг пол – парсьёс пӧлын,Один раз среди свиней
"Мыным но туж кулэ ни , дыр",И мне уже очень надо время
Кызьы тонэ яратытэк,Как ты любишь
векчи чорыг,Тяжкая рыба
куашкась акшанъёсы,разрушились сумерки
кӧня ултӥязы милем,сколько унизил нас
каръёслэн вылтуссы куашка,Город разрушился в облике
кин ӝутоз,кто поднимет
"Татьяна Белослудцева , Елена Родионов","Татьяна Белослудцева , Елена Родионова"
Йырзэ усьтэ чурыт унябеед,"Открой голову , скупо Козодой"
"Нылаш султэ , кружкаеныз",девушка встала в кружку
чагыр бубли – лента адске,Голубая голубая бабочка на ленте видит
огназ шыпыт гинэ пуксе,"Только тишина одна , только"
огзэс огзы пачкатэмын,"Одна , одна пачка"
центнер но ӝыны сектала,Половина веса и центнер
Мон сиысал тонэ ! ..,я съел тебя
Тон ӝытняньдэ,Полдник тебе
Омыр кулэ !,Воздух надо
"кыӵе дыре , малы",Зачем время
соку ни папкаме усьтоз,тогда уже папка падает
кудӥз пумит катлы,"Закон , который , напротив ,"
"монэ , воргоронэз",Я мужчина
Мыным вералозы,я говорю
Уд шедьты ни,Уже не нашел
Тон кылльы на,ты ляжешь в ещ
Айы муртьёс,Отец да
Тӥ но лушкем,И вам секрет
Кык гекзаметр,Два на два
"Серем , но сьӧлыке , дыр , ӧжытгес вал",Смешной и грех времени немногое лошади
Мыным сётэм кайгуоссы сярысь,я дал горе
мон кысысал дуно тылме,Я потух на ценах огня
Мон жалясько,я жалею
вуэз соку валпотэмын,Тогда вода в воде
Уин дорам мон бертыкум,Я вернулся около ночи
соку мынам лыктӥз тодам,я тогда пришел в память
"яке татын , уйлэн гырказ",Или здесь ночь в пещере
"Музъем ужасьёсты сётӥд тон зарезьлы , адямилык тон сёт адямилы","Земля работает на море , дающее тебе море человечества , завтра ты даешь человеку возможность сегодня Земля сегодня работает на море , дающее тебе море человечества , завтра ты даешь человеку возможность сегодня Земля сегодня работает на море , дающее тебе море человечества , ты даешь человеку возможность"
"Мон вал , дыр",Я лошадь время
Тон мыным !,я за тобой
"« Дядяй бертэ » ,  шуэ , дыр",дядя скажет время
Тон шуид вал : « Яраты монэ,"ты сказал мне , что ты любишь лошадь"
Мынам тодам лыктыку,Я пришла в память
Акшан дыръёсыд луытозь,До вечера время
"Мон тынад , мон тынад",я за тобой я за тобой
Шудэмъям шудэме,играли в игру
Ми лыктӥмы тӥ доры,мы пришли около вас
Ми бертом,мы вернемся
Ум бертэ,Вернемся
Сётӥды ке,если дать
Ми бертом,мы вернемся
Ум бертэ,Вернемся
Сэрего но басмадэс,И ткань
Сётӥды ке,если дать
Ми бертом,мы вернемся
Ум бертэ,Вернемся
Сётӥды ке,если дать
Ми бертом,мы вернемся
Ум бертэ,Вернемся
"Вераса , вераса","Говорит , говорит"
Сюлмысьтымы кайгумес,Сердце горе
Паренысь паренэ,Пар пар
"Кинъёс , кинъёс лыктӥллям ...",кто пришел
Эй ! шу,Скажи эй
Мон уг валаськы вал,я не понимаю лошадь
"Шудӥ , шудӥ мон тӥледын",я играл в игру с вами
Тӥ уд лыктэ ми доры но,Вы не пришли около нас и
Ми ум мынэ тӥ доры,мы не пойдем около вас
" Ӵукна усем лысвуэн , шу","Утренние утром , сказал роса"
Бадӟым вуэз мон адӟи,я видел большую воду
Кытысен мон тонэн пумиськи,я откуда ты встречался
Кытысен мон тонэн пумиськи,я откуда ты встречался
Крезьгурез П,Мелодия мелодия
"Марлы турнай , марлы турнай","косила , что косила"
"Марлы сии , марлы сии","съел , что съел"
Мукетыныз ветлӥськод ?,другие ходят
Мукетыныз ветлӥськод ?,другие ходят
Мукетыз доры кошкид,ушел около других
Толон адӟи мон тонэ но,я видел тебя вчера и
Туннэ адӟи мон тонэ,я сегодня вижу тебя
Ми пукимы,мы сидели
"Веник , веник , веник",Веник Веников
"Москва , Москва , Москва","Москва , Москва"
"Сяська , сяська , сяська",цветы цветы цветы цветы цветы цветы
"Сяська , сяськаен шудо","Цветки , цветы , счастливо"
Мынэсьтым но чеберзэ,И я о красоте
Мон доры уз ни ву,Я уже околозавтра не в воде
Мынэсьтым но сюлэмме,И сердце
Мынам сюлэмы,Я в сердце
Йырси пунэт карелэ,плетем волосы
"Паськыт , паськыт","Широких , широких"
Гуртлы матысь тэле,Мат в деревне
Малмыжысь становой,Малмыж становой
"Садо , садо азбаре но",Сады и сады
"Мако , мако бакчае но",Мак и огород
Кин уз яраты ?,кто не любит
Сирень сяська,Цветки сирени
Мынам но сюлэмам,И сердце
Мынэсьтым чеберзэ,Я о красоте
Крезьгурез Ф,Мелодия мелодия
Эмезен чай юэме,Пьёт чай малина
Уӵы но сайказ,Соловьев проснулся и проснулся
Узыё но борыё,Земляника и клубника
Милям но тэльёсмы,Мы и в лесу
Куноё но куноё,Гости и гости
Та аранэз араны,"Жигает , на эту ЖЕГАЕТ"
Тон но куно,И ты в гостях
"Тон но куно , куно",ты и гость в гости
"Мон но куно , куно",Я и гость в гости
"Валлы турын , турын",лошадь сено сено
Марлы тонэн пумиськи ?,ты что встречался
Тон но пересьмид,ты и состаришься
Мон но пересьми,я состарился и состарился
"Шорыз пась ни , шуизы",уже в середине дыры сказано
Отӥ лыктэ пароход,Там пришел пароход
« Та лыктӥсь пароходын,этот пароход пришел
Кышномурт отчы мынӥз,женщина шла туда
"Тонэ , мусо , адӟи",ты видел Печенков
Азбар но шоръёсад,Двор и середина
Бакча но шоръёсад,Огород и середина
Улмопу садэд,Сады яблони
Пошта валэ мон пукси,я сел на почту на лошади
Ӵагыр но басмаез,Голубая ткань и голубая
"Уд адӟы ни тон , чебере",ты уже не видел красоту
Эмезен чай юэме,Пьёт чай малина
Ӵоръялоз атасэд,Петухов петух петух петух
Гырдалтоз ужпиед,Жеребец Ржу
Толэзь но ужа,И месяц работает
Сяська но усе но,цветы и падали
Уг вунэты мон тонэ,я не забуду о тебе
"Тон мынам , Люба , мусое","Я тебе , Люба , Печалю"
"Тон мынам , Люба , мусое","Я тебе , Люба , Печалю"
"Тон мынам , Люба , мусое","Я тебе , Люба , Печалю"
"Тон мынам , Люба , мусое","Я тебе , Люба , Печалю"
Соку тодад лыктоз,тогда память придет
Соку тодад лыктоз,тогда память придет
Соку тодад лыктоз,тогда память придет
Соку тодад лыктоз,тогда память придет
Соку тодад лыктоз,тогда память придет
Соку тодад лыктоз,тогда память придет
Соку тодад лыктоз,тогда память придет
Куноос лыктӥллям,гость пришел
Крезьгурез В,Мелодия мелодия
Крезьгурез Н,Мелодия мелодия
Шудӥз арганчи,гармонист играл в гармонист
Крезьгурез Г,Мелодия мелодия
Крезьгурез Г,Мелодия мелодия
Крезьгурез Н,Мелодия мелодия
Сюлэмы но тон бордысь,И сердце около тебя
Крезьгурез Г,Мелодия мелодия
Вунэтӥд ни ке монэ,"я уже забыл , если"
Крезьгурез Н,Мелодия мелодия
Крезьгурез М,Мелодия мелодия
Крезьгурез М,Мелодия мелодия
Тонэ сю пол ни ӟыгыртӥ ...,ты уже сто раз обнимешь
"Ветлӥ , ветлӥ","ходила , ходила"
Крезьгурез Г,Мелодия мелодия
"Ветлӥ , ветлӥ колхоз садэ",Ходил в колхоз в сад
Крезьгурез Н,Мелодия мелодия
Тон усьты ӧстэ,ты падаешь в дверь
Крезьгурез « ЛД » группалэн но,Мелодия и мелодия в группах
Мон тонэ вунэтӥ,я забыл о тебе
Тон мыным вожъяськысал,Я завидую тебе
Тон мыным вожъяськысал,Я завидую тебе
Крезьгурез Н,Мелодия мелодия
"Нокытысь но уг адӟы ни , дыр :",Иоткуда не видел уже время
Крезьгурез Н,Мелодия мелодия
Кудӥзлэн веранэз,"О , о котором говорят"
Крезьгурез З,Мелодия мелодия
Сыӵе угось,Ведь такой
Кинлы кызьы,Как кто
Крезьгурез М,Мелодия мелодия
Крезьгурез В,Мелодия мелодия
"Кӧня , кӧня , кӧня городъёс",Сколько сколько сколько городов
"Кӧня , кӧня , кӧня сутэр синъёс",Сколько сколько сколько смородины глаз
Крезьгурез Л,Мелодия мелодия
Крезьгурез В,Мелодия мелодия
Нылмуртлэсь чеберзэ адӟисько,женщина видит красоту
Крезьгурез Г,Мелодия мелодия
Сомында веран !,Столько говорят
Крезьгурез Г,Мелодия мелодия
Тон малы соку курдад,Тогда зачем тебе курд
Крезьгурез С,Мелодия мелодия
Мон тыныд ӟеч кыл верало,"я тебе хорошо слышу сегодня , говорю завтра я тебе хорошо слышу , говорю"
Крезьгурез Г,Мелодия мелодия
Тон монэ яратӥськод,я люблю тебя
Крезьгурез Г,Мелодия мелодия
Мон гожтӥ мукетсэ,я написал другое
Мон гожтӥ синкылиен,я написал зрачок
"Уз , уз лыкты ответ !",не придет ответа завтра не придет ответа
Мон уг вера кинлы ...,"я не говорил , кто был"
Крезьгурез Г,Мелодия мелодия
Крезьгурез Г,Мелодия мелодия
Крезьгурез Л,Мелодия мелодия
Крезьгурез Г,Мелодия мелодия
Легезьпу сяська,Цветки шиповника
Крезьгурез Г,Мелодия мелодия
Крезьгурез Г,Мелодия мелодия
Синъёсад ,Глаза в глаза
Мынам синъёсы,я в глаза
Мынам улонэ,Я в жизни
Одӥг кыл  « яратӥсько »,сегодня один за один любит слышать один за один любит слышать
Крезьгурез Н,Мелодия мелодия
Крезьгурез Н,Мелодия мелодия
Синмыным ке но,И если глаза
Крезьгурез П,Мелодия мелодия
Мон гинэ огнам,Я только один
Мар мынам сюлмам ?,Что я в сердце
Жаляны уд валаське тӥ,"Жалею , не пойму вас"
Кыӵе ӟырдыт мынам сюлмы,Какой вспыльчиво я кишка
Уд валаське тӥ,вы не поймете
Мар каром на ...,Завтра Ещ что делать
Крезьгуръёссы И,И мелодия
но Г,Но и
Крезьгурез В,Мелодия мелодия
Крезьгурез Н,Мелодия мелодия
"Поезд кошке , поезд лыктэ",поезд ушел на поезде
Крезьгурез М,Мелодия мелодия
Евдокия Антоновалэн,Евдокия Антонова
Крезьгурез Н,Мелодия мелодия
Мона Лиза,Лиза Мона
Крезьгурез Г,Мелодия мелодия
Тонэныд мон пумиськи,я встречался с тобой
"Лиза , Лиза , Лиза , Лиза",Лиза Лиза Лиза Лиза Лиза Лиза Лиза Лиза Лиза
"Мона Лиза , Мона Лиза",Лиза Мона Мона Лиза Мона Лиза
Тонэныд мон пумиськи,я встречался с тобой
Мон бертӥ ужысь,я вернулся на работу
Крезьгурез Г,Мелодия мелодия
Мон бертӥ ужысь,я вернулся на работу
Мон валай,я понял
Крезьгурез С,Мелодия мелодия
Сюлэмдэ мыным,Я в сердце
"Мон валай , яратӥськом ми",я понял нас сегодня вчера я понял нас
Крезьгурез Н,Мелодия мелодия
"Вунэтонтэм , ӵыдонтэм",Могу забыть могу
Тонэн мыным кезьыт тол но,Ты мне прохладно и зима
но Н,Но и
Мон тыныд ӟеч кыл верало,"я тебе хорошо слышу сегодня , говорю завтра я тебе хорошо слышу , говорю"
"Кыӵе мон шудо , валалод","я пойму , какая счастлива"
Крезьгурез Г,Мелодия мелодия
Крезьгурез Н,Мелодия мелодия
Тон монэ уд адӟы,я не увижу тебя
но Н,Но и
"Кытын , кыӵе садъёс пӧлын",Где какой сад среди
Крезьгурез Н,Мелодия мелодия
Адӟыны гинэ тонэ мыно,"ты , видишь , только , идешь"
Крезьгурез М,Мелодия мелодия
"Сяська , сяська ог сю иськем",Цветки цветы цветы на одной версте
Крезьгурез С,Мелодия мелодия
Крезьгурез Н,Мелодия мелодия
Крезьгурез Н,Мелодия мелодия
Крезьгурез Г,Мелодия мелодия
Мон ноку уг вунэты,я никогда не забуду
Крезьгурез В,Мелодия мелодия
Кин ке уз вунэты,Если кто не забыл
Кин ке уз вунэты,Если кто не забыл
Крезьгурез В,Мелодия мелодия
Крезьгурез Н,Мелодия мелодия
Мон тонэн пумиськи ?,я встречался с тобой
Мон тонэн пумиськи ?,я встречался с тобой
"Кытчы , кытчы монэ",Куда куда я куда вы выйду
Мынэсьтым сюлэмме тон бугыртӥд ?,Я сердце твое рыхлое
Крезьгурез Г,Мелодия мелодия
Шудӥз арганчи ...,гармонист играл в гармонист
Крезьгурез Г,Мелодия мелодия
Легезьпу сяська гинэ,Только цветы шиповника
Ветлыны сяська пӧлын ?,Ходят среди цветов
Крезьгурез П,Мелодия мелодия
но Г,Но и
Кызьы ӵыдод палэзьпулэсь,Рябина может
Тужгес уд ӵыд палэзезлэсь,Рябина не может
Мон палэзьмес сии уно,я съел много рябин
Ӵош будэтэм сяськамы,Выращивали цветы
Крезьгурез Г,Мелодия мелодия
Сяськаос но мыным,Я и цветы
Ужаны милемын ! »,мы работаем
Сяськаос но мыным,Я и цветы
Крезьгурез Н,Мелодия мелодия
Крезьгурез М,Мелодия мелодия
Мон вӧзы матэ,Я около мата
Толэзь пуксьытозь,Садись месяц
Мон пуки огнам,я сидел один
Мон вӧзы матэ,Я около мата
Крезьгурез В,Мелодия мелодия
Крезьгурез М,Мелодия мелодия
Пумиським шӧдтэк шорысь,Неожиданно встречался в середине недели
Тыныд сётӥ сюлэмме »,ты дал сердце
Крезьгурез Р,Мелодия мелодия
Крезьгурез Г,Мелодия мелодия
"Раиса , Рая , Рая",Раиса в райе
Шундымы уз кыс,солнце не потушит
Тон доры лыкто,ты придешь около
Крезьгурез Г,Мелодия мелодия
Лыктӥськод тон шуласа,ты придешь свистеть
Сюан вальс,Вальс на свадьбе
Крезьгурез В,Мелодия мелодия
Выль семья  бадӟым шудбур,новость о новых семьях большого счастья
Тыллэн улэп югытэзлэсь,Огнь живой света
Крезьгурез Н,Мелодия мелодия
Крезьгурез Г,Мелодия мелодия
Крезьгурез М,Мелодия мелодия
Крезьгурез М,Мелодия мелодия
"Тон ке , малы соку",Тогда зачем ты
"Тон ке , малы соку",Тогда зачем ты
"Тон ке , малы соку",Тогда зачем ты
"Тон ке , малы соку",Тогда зачем ты
Тон бырйид толэзез,ты выбирал месяц
Крезьгурез Г,Мелодия мелодия
"Кин шунды , кин толэзь","Кто о согреется , кто за месяц"
Тон бырйид толэзез,ты выбирал месяц
Тон кытын ?,Где ты
Крезьгурез М,Мелодия мелодия
« Тон кытын ?,Где ты
« Тон кытын ?,Где ты
« Тон кытын ?,Где ты
"Кӧня арзэ , кӧня арзэ","Сколько лет , сколько лет"
"Кӧня арзэ , кӧня арзэ","Сколько лет , сколько лет"
Тон огнад,Один ты
"Тон огнад , тон огнад , тон огнад","ты один , ты один , ты один"
Крезьгурез Г,Мелодия мелодия
Туннэ шумпотом,Радость
Сюлэмме туннэ,сегодня сердце
Крезьгурез П,Мелодия мелодия
"Мон тонэн гинэ , тон вӧзын гинэ",Я только тебя около тебя
"Мон тонэн гинэ , тон вӧзын гинэ",Я только тебя около тебя
Марлы веранэз,"Говорит , что"
Монэ ке яратӥськод ! »,я люблю
Сюлэмме вӧзаз ватсай,Добавило в сердце
Яратӥсь сюлэмъёсмес,сердце любит
Крезьгурез Н,Мелодия мелодия
Синмысьтыд мон валасько,я понял Глаза
Крезьгурез Г,Мелодия мелодия
Сяська вӧзы сяська,Цветки около цветки
"Туннэ сюанэд , сюанэд мукетэн",сегодня свадьба на другой свадьбе
Крезьгурез Г,Мелодия мелодия
Крезьгурез Н,Мелодия мелодия
"Усьыло , пуксьыло алвылам","падать будем , падающие завтра падать будем , падающие"
Мон яратӥсько тонэ,я люблю тебя
Нокинлы уг сёт тонэ,тебе никто не даст
Нокинлы уг сёт тонэ,тебе никто не даст
Тулыс сяськаос ужаку,Цветки работают весной
Крезьгурез Г,Мелодия мелодия
Тулыс сяськаос ужаку,Цветки работают весной
"Уг , уг ни берта",Уже не возвращаться
"Уг , уг ни берта",Уже не возвращаться
Мукетыз монэ,Я о другом
Клубысь бертӥськод,клуб вернулся
Мон йырме утӥ,я лаю в голове
Тынад синъёсыд,ты в глаза
Крезьгурез Г,Мелодия мелодия
Крезьгурез Н,Мелодия мелодия
Крезьгурез Г,Мелодия мелодия
Крезьгурез Г,Мелодия мелодия
Крезьгурез Г,Мелодия мелодия
Сюлэмы ӵыдымтэен,Сердце может
"Ида , Ида , Ида",Ида Ида Ида
"Ида , Ида , Ида",Ида Ида Ида
Ӵагыресь синъёс,Голубые глаза
Тӥледын югыт шунды но,вы согреетесь и согреетесь
Ӵагыр синъёсы,Голубые глаза
Тонэ курозы,ты получаешь
Крезьгурез Н,Мелодия мелодия
Крезьгурез Г,Мелодия мелодия
Ӵагыр зарезьын но,И голубое море
Азвесь « Мерседес »,Мерседес серебро
Ӵагыр зарезе но,И голубое море
Нокыӵе зарни но,И никаких золотых
Мон тонэ вунэто,я за тобой забуду
Кинэ ке уалтод,"Кто кто , если"
Крезьгурез Г,Мелодия мелодия
Крезьгурез Г,Мелодия мелодия
Крезьгурез Н,Мелодия мелодия
Сюлэмы но тыныд усьтымтэ,И сердце твое открыло
Крезьгурез П,Мелодия мелодия
Сава Сергейлэн,Сергей Сава
Крезьгурез М,Мелодия мелодия
Шундыен тонэ нимай,ты назвал солнце
Шундыен тонэ нимай,ты назвал солнце
Тон толэзь шуид монэ,месяц ты сказал мне
Шундыен тонэ нимай,ты назвал солнце
Тон толэзь шуид монэ,месяц ты сказал мне
Шур бызе,Хорда в реке
"Шур бызе , бызе , бызе",Хорда на реке Хорда
Крезьгурез Г,Мелодия мелодия
Тыныд сётӥ сюлэмме,ты дал сердце
Сава Сергейлэн,Сергей Сава
Крезьгурез Л,Мелодия мелодия
Крезьгурез Г,Мелодия мелодия
Сюлэмшугме усьтыны,Падение падает в тревоге
Крезьгурез Н,Мелодия мелодия
Тыныд гинэ усьто мон сюлэмме,я к тебе падать в сердце
Крезьгурез М,Мелодия мелодия
Шудэмысь тон огнад бертӥськод,"ты играл в один , сегодня вернулся ты играл в один вчера , вернулся"
Крезьгурез Н,Мелодия мелодия
 Яратӥсько мон тонэ,я люблю тебя
Мукетызлы мон дуно,Я за другую цену
арыт-лыз синъёстэ,Синие глаза
Пуксиськод ке вӧзам,Если сесть около
Крезьгурез М,Мелодия мелодия
Крезьгурез Г,Мелодия мелодия
Мар матэ каре,Мат что делает
"Номыр но уд кары , дыр",И ничего не делать в время
Крезьгурез Н,Мелодия мелодия
Сӧсырмоз сюлэм,сердце исправится
Тонэн мыныны,ты пойдешь
Тыныд сётыны,Ты дай
Пиосъёслэсь йырзэс сураськоды,парень мешает в голове
Тынад синъёсыныд,ты в глаза
Кулэ ке,Если надо
Сюлэмы но,И сердце
Тон одӥг улонам,Ты один в жизни
Очей Толи,Толя Очей
Сюлмысьтыд пичияк шундыед,В сердце немножко солнце
Соку улон иськемъёсты вамышъяны,Тогда жизнь шагала за версту
Кинъёс мыным кулэ ?,Кому мне надо
Шурысь вуэз омыръяса сузен,Вода в реке черпает в пригоршнем
Очей Толи,Толя Очей
Елена Родионова,Елена Родионова
"Иисус Христос вуэн , вирен , Духен лыктӥз",Иисус Христос Христос в крови духа пришел
Таӵеослэсь палэнскылы,Уклониться от такой
Израильысь воргоронъёс !,Мужчины в Израиле
» Кузё-Инмар мынам Кузё-Инмарелы шуиз :,Господь сказал мне
Дух Филипплы шуиз : « Мын та уробо вӧзтӥ »,"Филипп сказал , что идет на эту телегу около"
Филипп матаз мынӥз,Мат Мат Мат Филипп шел
Анания ответ сётӥз : « Кузё-Инмаре !,ответа Анания дал Господу
Анания мынӥз,Анания шел
Мукет интыын но шуэ :,И на другое место сказать
"Соку Антиохияысь , Иконияысь куд-ог иудейёс лыктӥзы",тогда Антиохия Икония пришла
Павелэн Варнава Антиохияын вал,"Павел Варнава , лошадь Антиохии"
Татысен ми Сирияе кошкимы,мы ушли из Сирии
Соку Асияысь иудейёс Павелэз храмысь адӟизы,тогда Асия и Иудеев видели храм
"Ответ сётыса , мон шуи : » Кузё-Инмар , кин Тон ? »","я дал ответ , кто сказал мне , что ты"
Соку мон шуи : » Кузё-Инмар !,я сказал Господу
Мар мыным кароно ? »,Что я делаю
Мон шуи : » Кузё-Инмаре !,Господь сказал мне
Кузё-Инмар мыным шуиз : » Мын,Господь сказал мне идти
"Мон шуи : » Кузё-Инмар , кин Тон ? »","я сказал мне , кто ты Бог"
сюлмынызы уз валалэ,вчера Сердце не понял Сердце не понял
Шонер верамын :,"Прямую , говорят"
[ Кузё-Инмарлэн син азьысьтыз кошкы . ],Перед глазами Господь ушел
"быръемзэ , дунозэ",цена выбирала
кызьы Исаия пророк вераз »,пророк говорил
Иисус Иерусалиме лыктӥз,Иисус Иерусалим пришел
Иисус Иерусалиме лыктӥз,Иисус Иерусалим пришел
Та интыын нап турынэз вал,В этом месте густота сена лошади
Мар Тон кариськод ?,ты делаешь что
Кин доры милемлы мыноно ?,Кто около нас идет
Мукетъёсыз шуизы : « Та – Христос »,другое сказал Христос
"Иисус храмтӥ , Соломонлэн Бӧльмыетӥз , ветлӥз",Иисус Соломон ходил в храм
"Вифания Иерусалимлы матын , ог куинь иськемын вал",Вифания в Иерусалиме ближе к одной версте лошади
Соку Марфа Иисуслы шуиз : « Кузё-Инмаре !,тогда Марфа сказал о Госте
Кытчы Тон мынӥськод ? »,ты куда идешь
"Тӥ Монэ яратысалды ке , тӥ шумпотысалды Мынам верамелы : » Мынӥсько Атае доры »","вы любите меня , если вы рады , я говорил сегодня , идущий около отца вы любите меня , если вы рады вчера , я говорил , идущий около отца"
